,titles,video_url,is_violent,escalation_timestamps
14,San Diego Police Officer Shoots Man Walking Towards Him With a Knife,https://www.youtube.com/watch?v=5gjMZupapfY,1.0,"[10.0, 57.0]"
15,Bodycam Shows Moments Before Cop Shot Man Reaching For Officer's Gun,https://www.youtube.com/watch?v=t_Pes8jVq9M,1.0,"[22.0, 32.0]"
16,Police Officer Shoots Knife Wielding Suspect After Crashing Car Into Water,https://www.youtube.com/watch?v=_N2_-r49jYU,1.0,[138.0]
17,Deputies Shoot Woman As She Raises a Shotgun Toward Them,https://www.youtube.com/watch?v=V6riFP2vWFE,1.0,"[7.0, 19.0]"
18,Cops Arrest Two Suspects After Being Caught Red-Handed With a Stolen Cash Register,https://www.youtube.com/watch?v=8t2LVtzXq8M,0.0,"[6.0, 49.0]"
19,Orlando Officer Drive Off After Deputy Pulls Him Over For Speeding,https://www.youtube.com/watch?v=plO154hvufY,0.0,"[1.13, 1.21, 1.35]"
20,Bodycam Footage of Sandy Police Shooting 16-year-old in Stolen Army Van,https://www.youtube.com/watch?v=nipM5smAwus,1.0,[57]
21,Ohio Woman Rams Police Cars in Attempt to Escape Arrest,https://www.youtube.com/watch?v=p0wCl_ubH6Q,1.0,"[0.0, 25.0, 39.0, 111.0]"
22,Santa Ana Police Shoot Armed Suspect During a Traffic Stop,https://www.youtube.com/watch?v=I5rh4MMvwSA,1.0,[20.0]
23,Albuquerque Police Shoot Man While Trying to Wrestle Gun From His Hands,https://www.youtube.com/watch?v=vHHZPEowD0A,1.0,"[28.0, 37.0]"
24,Cop Shoots at Restaurant Owner Holding Gun During Burglary Response,https://www.youtube.com/watch?v=B0KNQyp56j0,0.0,[16.5]
25,Bodycam Video Shows NYPD Cops Shooting Man Charging at Them With Knife,https://www.youtube.com/watch?v=ehPA7QVd-ms,1.0,"[37.0, 44.0]"
26,Officer Shoots Armed Man After He Points Gun in Greensboro Parking Lot,https://www.youtube.com/watch?v=h5oCqDga_q4,1.0,"[25.0, 38.0, 46.0]"
27,Three Teenage Carjacking Suspects Lead Seattle Police on a High-Speed Chase,https://www.youtube.com/watch?v=fIEytruIeto,0.0,"[6.0, 18.0, 40.0, 47.0, 53.0, 100.0, 115.0]"
28,DUI Suspect Crashes into JSO Cruiser on Mathews Bridge,https://www.youtube.com/watch?v=sPd-Y1w17Uk,0.0,[8.0]
29,Armed Suspects Toss Guns While Fleeing Police,https://www.youtube.com/watch?v=NbYGx9IRtnc,1.0,"[46.0, 50.0, 114.0, 126.0]"
30,Pueblo County Deputy Goes Unconscious During an Arrest For Suspected Fentanyl Possession,https://www.youtube.com/watch?v=m0-ocixbZVE,0.0,"[0.45, 1.48]"
31,Hightstown Police Officers Save Choking Baby,https://www.youtube.com/watch?v=o9CFehdKT5I,0.0,"[6.0, 11.0, 31.0]"
32,Suspect Armed With Screwdriver Shot By LA Deputies,https://www.youtube.com/watch?v=6fZ_boRIfZo,1.0,"[4.0, 11.0, 17.0, 19.0, 22.0, 117.0, 120.0, 123.0, 129.0, 131.0, 135.0, 136.0, 137.0, 138.0, 140.0, 141.0, 142.0, 143.0, 144.0, 145.0, 146.0, 147.0, 148.0, 149.0, 150.0, 151.0, 152.0, 153.0, 154.0, 155.0, 156.0, 157.0, 158.0, 159.0, 160.0, 161.0, 162.0, 163.0, 164.0, 165.0, 166.0, 167.0, 168.0, 169.0, 170.0, 171.0, 172.0, 173.0, 174.0, 175.0, 176.0, 177.0, 178.0, 179.0, 180.0, 181.0, 182.0, 183.0, 184.0, 185.0, 186.0, 187.0, 188.0, 189.0, 190.0, 191.0, 192.0, 193.0, 194.0, 195.0, 196.0, 197.0, 198.0, 199.0, 200.0, 201.0, 202.0, 203.0, 204.0, 205.0, 207.0, 208.0, 209.0, 210.0, 211.0, 212.0, 213.0, 214.0, 215.0, 216.0, 217.0, 218.0, 219.0, 220.0, 221.0, 222.0, 223.0, 224.0, 225.0, 226.0, 227.0, 228.0, 229.0, 230.0, 231.0, 232.0, 233.0, 234.0, 235.0, 236.0, 237.0, 238.0, 239.0, 240.0, 241.0, 242.0, 243.0, 244.0, 245.0, 246.0, 247.0, 248.0, 249.0, 250.0, 251.0]"
33,Seattle Police Harbor Patrol Officers Rescue Man From Drowning in Portage Bay,https://www.youtube.com/watch?v=hryOf9FaSFw,0.0,"[0.0, 21.0, 35.0, 46.0]"
34,Police Use Taser to Subdue Knife-Wielding Man After Crashing Into 7-Eleven,https://www.youtube.com/watch?v=YDut3PZx-uU,1.0,"[12.0, 31.0, 59.0]"
35,Bodycam Footage of Stockton Officer Shooting Woman After Chase,https://www.youtube.com/watch?v=sTXA8BarXZ0,0.0,[]
36,Orange County Deputies Shoot Man Who Charged at Them With a Knife,https://www.youtube.com/watch?v=pkvFa1f_MCI,1.0,"[53, 58, 118]"
37,Parolee Drowns in Hudson River While Attempting to Flee From Police on a Bicycle,https://www.youtube.com/watch?v=A_ws4feQuZc,0.0,"[11.0, 34.0, 110.0, 136.0]"
38,Murder Suspect Gets Shot After Advancing Towards LA Deputies With a Knife,https://www.youtube.com/watch?v=lRKfYkN2CFM,1.0,"[17.8, 26.0, 39.0, 26.0, 27.0, 39.0]"
39,Armed Suspect Shot by San Antonio Officer During Drainage Ditch Pursuit,https://www.youtube.com/watch?v=y25In0u2h6g,1.0,"[28.0, 37.0, 45.0, 148.0, 211.0]"
40,NYPD Cop Strikes Woman Interfering in Arrest of Armed Attempted Murder Suspect,https://www.youtube.com/watch?v=Yru3gJyH25E,1.0,"[3.0, 15.0, 30.0, 45.0, 51.0, 56.0, 109.0]"
41,Long Beach Officer Shoots Suspect After He Pulls a Gun Out of His Pocket,https://www.youtube.com/watch?v=_r8wijZsy8Q,1.0,"[21, 112, 123, 219]"
42,Florida Deputies Borrow Family's Boat To Arrest Jet Ski Theft Suspect,https://www.youtube.com/watch?v=nIlIc4xqsF8,0.0,[38.0]
43,Man Shoots a Rookie NYPD Cop Over a Bus Seat,https://www.youtube.com/watch?v=vesa0qzJJqQ,1.0,"[36.0, 57.0, 142.0]"
44,Pursuit Ends in Deputy-Involved Shooting After Suspect Drives Away During a Traffic Stop,https://www.youtube.com/watch?v=mWmFnTowToc,1.0,"[23.0, 46.0, 121.0, 129.0]"
45,Kalamazoo Police Officers Rescue Man Trapped Under Van,https://www.youtube.com/watch?v=BbHtlwGauLQ,0.0,[]
46,Florida Woman Attempts to Scale Apartment Building to Avoid Arrest,https://www.youtube.com/watch?v=K9d-_Ny7SNc,0.0,"[2.9, 16.4, 23.2]"
47,14-year-old Boy Crashes Stolen Car while Fleeing From Officers on icy Roads,https://www.youtube.com/watch?v=hcx0v6KFE7c,0.0,[146.0]
48,"Bodycam Shows Officers Catch Fleeing Suspect After Burglary in Atlanta, Georgia",https://www.youtube.com/watch?v=P5sUgPu9IRI,0.0,[17.0]
49,Ohio Cop Sparta Kicks Suspect,https://www.youtube.com/watch?v=hYMzSSIx9UA,1.0,"[9, 11, 13]"
50,Bodycam Shows Car Theft Suspect Repeatedly Reach For Officer’s Gun During a Struggle,https://www.youtube.com/watch?v=9-asB_jP7xk,1.0,"[32.0, 35.0]"
51,LA County Deputy Shoots Armed Robbery Suspect Through Windshield,https://www.youtube.com/watch?v=gr5OXgO8k20,1.0,"[1.08, 1.3, 1.35, 2.02]"
52,Florida SWAT Sniper Shoots Bank Robbery Suspect Through Computer Monitor During a Hostage Situation,https://www.youtube.com/watch?v=zi4Lw981G9w,1.0,[51.2]
53,Florida Deputy Jumps into Canal to Rescue Stranded Dog,https://www.youtube.com/watch?v=iHRQ8tj3o4A,0.0,[]
54,Deputies Shoot Armed Suspect After Pursuit Ends in 7-11 Crash,https://www.youtube.com/watch?v=v8tzAdayDTE,1.0,"[19.0, 25.0]"
55,"Suspect Gets Shot After Pointing Gun at Officers in Boise, Idaho",https://www.youtube.com/watch?v=Tk1sDNILgZE,1.0,"[9.0, 11.0, 15.0, 16.0, 17.0, 18.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0]"
56,"Car Launches Off Tow Truck Ramp in Lowndes County, Georgia",https://www.youtube.com/watch?v=-QxLdb77-Ic,0.0,"[10.5, 27.5]"
57,Albuquerque Police Officers Chase Shoplifting Suspect on Horseback,https://www.youtube.com/watch?v=Mg1L1zHkAqE,0.0,"[7.0, 10.0, 14.0, 21.0, 31.0, 36.0, 42.0, 48.0, 56.0, 100.0, 110.0, 113.0, 118.0]"
58,Fresno Officer Shoots Masked 15-year-old Boy Pulling Replica Gun From Waistband,https://www.youtube.com/watch?v=KUwQjKEXur0,1.0,[16.0]
59,San Marcos Police Officer Shoots Suspect Armed With Knives During Foot Pursuit,https://www.youtube.com/watch?v=D1o_vpzrG3Y,1.0,"[30.0, 50.0, 150.0]"
60,Trooper Catches Dog Trying To Flee From a Traffic Stop,https://www.youtube.com/watch?v=LhyXTgcYKa8,0.0,[18.0]
61,Austin Police Officers Help Child Choking On Candy,https://www.youtube.com/watch?v=eXsY-F1HLzg,0.0,[13.0]
62,Man Fleeing Ohio Police With Abducted infant Crashes into House,https://www.youtube.com/watch?v=XIlgz6kdguo,0.0,[50]
63,Police PIT Maneuver Sends Armed Robbery Suspects’ Car Rolling in Pursuit,https://www.youtube.com/watch?v=-NM_An8Uhv0,1.0,"[31.0, 35.0, 118.0, 139.0]"
64,Suspect Crashes into Hillsborough Deputy’s Vehicle While Attempting to Evade Arrest,https://www.youtube.com/watch?v=bRWdT9DbDbQ,1.0,"[7.0, 25.0, 35.0]"
65,Bodycam Shows Armed Woman Being Tased by Deputy in Florida Walmart,https://www.youtube.com/watch?v=mjX69yt_fAE,1.0,"[4.7, 15.2, 28.3, 37.8, 150.4]"
66,Tallahassee Officer Delivers Uber Eats Order After Delivery Man's Bike Breaks Down,https://www.youtube.com/watch?v=XnoWwxILqns,0.0,[]
67,Bridgeport Officer Opens Fire After Suspect Pulls Gun During Foot Chase,https://www.youtube.com/watch?v=Mv5BAz14Uo4,1.0,"[37.0, 121.0, 156.0, 212.0]"
68,Oklahoma State Trooper Stays Calm While Being Shot At During High Speed Chase,https://www.youtube.com/watch?v=UHEjqrNksSI,1.0,"[23.5, 49.5, 107.0, 125.0]"
69,Bodycam Footage of Oklahoma City Police Officers Shooting Knife-Wielding Suspect,https://www.youtube.com/watch?v=1XhDXpDMYEE,1.0,"[7.0, 34.0]"
70,Woman Tries Flirting With Trooper Before Human Smuggling Arrest,https://www.youtube.com/watch?v=Bh1vXSiMqlA,1.0,[125.0]
71,Deputies Rescue Kids Abandoned in Woods by Suspect On-the-Run,https://www.youtube.com/watch?v=gJBjls5ytjU,0.0,[0.0]
72,Louisville Police Officer Save Unconscious Newborn Baby,https://www.youtube.com/watch?v=81ZPuZbpEzs,0.0,[]
73,"Armed Suspect Shot by Deputy During Domestic Disturbance in Castaic, California",https://www.youtube.com/watch?v=GiaZsFnzZ0Q,1.0,"[38.5, 52.5, 107.0, 124.0]"
74,Man Shot After Pointing Airsoft Rifle at Cedar Rapids Police Officer,https://www.youtube.com/watch?v=wN9Eha0kIhk,0.0,"[18.0, 27.0]"
